Cluster,Gmag,SourceId,dec,par,ra,spar
Hyades,5.3660000000000005,3290872562889409024,9.82955,18.39,77.33211,0.174
Hyades,18.028,3282728853923029376,5.73262,21.264,71.06205,0.254
Hyades,11.955,3294522907134516864,10.719380000000001,19.219,73.09978000000001,0.026000000000000002
Hyades,10.898,3282171749421655168,4.66981,20.699,69.49309000000001,0.011000000000000001
Hyades,16.207,3406246551373367168,17.27199,16.319000000000003,71.25126999999999,0.059000000000000004
Hyades,16.171,3406246551373367296,17.27216,16.037,71.25147,0.125
Hyades,11.649000000000001,3405909374965722368,16.3884,20.758000000000003,72.12805,0.03
Hyades,10.982000000000001,3404798597640071296,14.9712,23.869,72.76053,0.188
Hyades,7.556,3404812685132622592,15.08335,20.958000000000002,72.6413,0.136
Hyades,7.76,3404850790082434176,15.43339,16.202,72.84702,0.023
Hyades,15.319,3405952363294872960,16.59814,18.784000000000002,71.38604000000001,0.057
Hyades,10.176,3405988677241799040,16.411939999999998,20.25,72.50335,0.013999999999999999
Hyades,14.786,3406094750050845696,17.03294,19.812,72.40278,0.023
Hyades,8.877,3311148828615843328,14.6704,21.451,65.88521,0.043
Hyades,10.93,3311492803955469696,14.39838,20.844,63.79388,0.023
Hyades,11.467,3311179340063437952,15.04129,21.005,66.52006,0.11599999999999999
Hyades,8.29,3311514210073309056,14.624970000000001,20.259,63.60736,0.068
Hyades,14.779000000000002,3311173120950799872,15.00247,21.215999999999998,66.46066,0.017
Hyades,14.713,3311179340062227200,15.0408,20.723000000000003,66.52037,0.10400000000000001
Hyades,13.772,3311464182294287104,14.54619,19.074,64.482,0.022000000000000002
Hyades,13.935,3311426420941869952,14.171320000000001,25.131999999999998,64.1065,0.019
Hyades,15.172,3311229745799686912,15.22812,20.809,65.75676999999999,0.05
Hyades,13.466,3311232425859274368,15.220170000000001,18.167,65.62765,0.027999999999999997
Hyades,15.158,3311120722349948672,14.8595,20.68,65.2341,0.06
Hyades,16.393,3406734906335151872,18.14104,21.445,72.70775,0.027000000000000003
Hyades,13.014000000000001,3406697179343851136,17.715329999999998,16.999000000000002,72.29651,0.023
Hyades,8.34,3406786445943961088,18.25858,20.721,71.90695,0.091
Hyades,12.04,146160558879786624,23.10849,18.688,66.33394,0.01
Hyades,14.943,146057617101593856,23.55483,19.68,68.2714,0.127
Hyades,15.743,149956519694104704,24.37685,19.723,63.70975,0.018000000000000002
Hyades,14.513,3289131211348832000,7.2757,18.779,70.44565,0.055
Hyades,12.66,3395542393360089728,18.40221,18.641,78.10085,0.047
Hyades,12.578,3395542393361639424,18.402279999999998,18.873,78.10043,0.063
Hyades,10.499,145664777917536512,22.118679999999998,21.828000000000003,66.03146,0.011000000000000001
Hyades,4.148,145727729254950912,22.81338,22.006999999999998,66.57743,0.069
Hyades,4.113,145674574739951872,22.29368,20.771,66.34284,0.249
Hyades,13.845,145668974102570624,22.181379999999997,23.151999999999997,65.98971999999999,0.05
Hyades,13.220999999999998,48455894049191424,18.72989,20.84,63.624790000000004,0.042
Hyades,14.995,48482454126911360,19.06384,19.105,63.68891,0.023
Hyades,14.219000000000001,48509186003340416,18.92897,19.738,62.77604,0.015
Hyades,8.097999999999999,45788547559850496,16.94773,21.33,64.41278,0.025
Hyades,15.378,45980377978968064,17.13168,19.891,62.37093,0.047
Hyades,10.819,45968901826385024,16.87296,24.965,62.04687,0.038
Hyades,13.999,45770783575075968,16.76229,20.906,63.895680000000006,0.038
Hyades,16.594,45789269114357632,16.94961,23.031,64.38492,0.040999999999999995
Hyades,13.78,45845378567048320,16.98297,21.663,64.00658,0.053
Hyades,10.12,3410640887035452928,19.11334,19.041,68.17102,0.015
Hyades,13.765999999999998,3410639993682264960,19.046529999999997,23.191,68.15819,0.018000000000000002
Hyades,17.347,145168558871003776,22.857129999999998,20.897,69.27172,0.042
Hyades,13.094000000000001,145218857232329472,23.04176,22.438000000000002,69.15894,0.016
Hyades,15.979000000000001,3292741835736351616,8.98126,23.361,72.26745,0.021
Hyades,14.819,3292663564251652608,9.08758,22.423000000000002,70.2173,0.018000000000000002
Hyades,15.879000000000001,144574788234755200,21.15447,16.537,67.93219,0.043
Hyades,15.944,144574788234755584,21.15309,16.41,67.9307,0.037000000000000005
Hyades,13.027000000000001,144663157183364864,21.66844,23.434,67.40634,0.043
Hyades,10.681,144534724778235392,21.234720000000003,23.149,66.69895,0.013000000000000001
Hyades,15.392999999999999,3412163946860515712,21.60221,16.222,74.3273,0.043
Hyades,14.047,3412131068887787776,21.36703,18.941,74.06991,0.033
Hyades,12.245999999999999,44894472808190720,18.75981,24.180999999999997,55.481919999999995,0.021
Hyades,12.685,3310348551653256448,13.3162,18.761,65.75005,0.012
Hyades,14.082,3310478710637938560,13.33109,20.756999999999998,64.53589000000001,0.012
Hyades,13.955,3310478710637066752,13.33126,20.805,64.53628,0.039
Hyades,14.145999999999999,3310178784482082816,12.510639999999999,20.804000000000002,64.67651,0.021
Hyades,16.148,3310131711641618816,16.63564,20.185,70.15459,0.039
Hyades,12.747,3411434528270795648,21.494229999999998,16.115,69.98326999999999,0.013000000000000001
Hyades,6.671,49231668222673920,21.039720000000003,20.465999999999998,65.38235,0.033
Hyades,13.462,49157794785448192,20.56999,21.95,65.6791,0.115
Hyades,16.022000000000002,49341619383660288,20.80752,22.923000000000002,63.886309999999995,0.07200000000000001
Hyades,7.635,49365087086285184,20.81965,20.775,63.927330000000005,0.065
Hyades,16.101,49341619384983936,20.80729,23.148000000000003,63.886269999999996,0.055999999999999994
Hyades,17.965,49131681384221952,20.39555,20.18,65.44162,0.094
Hyades,17.269000000000002,49131681384221184,20.40276,20.166,65.43535,0.084
Hyades,17.761,49324572659092992,20.87657,21.872,64.23606,0.092
Hyades,16.857,49407521363733632,21.031579999999998,23.315,64.69037,0.09
Hyades,16.561,3242232470578902656,8.45406,18.167,79.73139,0.02
Hyades,13.624,3242022670016700672,8.21401,19.898,77.41856,0.043
Hyades,10.763,3241952369992171904,7.9089100000000006,17.447,77.83085,0.009000000000000001
Hyades,11.86,3387573300585597184,11.79071,17.185,79.36724,0.024
Hyades,8.84,3387381646261643776,11.609760000000001,17.801,80.10616,0.013999999999999999
Hyades,14.698,147877549363243520,24.83791,22.188000000000002,67.73288000000001,0.016
Hyades,15.267999999999999,147908438767993216,25.09256,18.394000000000002,68.18930999999999,0.02
Hyades,10.573,67351757289092224,25.80422,22.535,58.17154,0.022000000000000002
Hyades,13.337,63395989328447232,20.85995,22.1,55.946819999999995,0.023
Hyades,12.075999999999999,53257461329357312,22.043670000000002,24.64,59.80981,0.027000000000000003
Hyades,15.613,3282562625805170304,4.8485,16.924,70.23872,0.172
Hyades,13.522,3282226793722500224,4.90189,21.095,69.43419,0.026000000000000002
Hyades,10.852,3406431406767566464,17.2736,18.387,72.95528,0.044000000000000004
Hyades,15.687999999999999,3406417903390509056,17.17406,21.89,73.09167,0.040999999999999995
Hyades,17.278,3406284725043872256,17.33031,22.725,71.81275,0.127
Hyades,9.277000000000001,3406380176397016576,17.74819,20.656,71.70647,0.051
Hyades,8.923,52548241968465408,21.9073,19.570999999999998,64.13998000000001,0.003
Hyades,16.324,52640154268714496,21.6025,20.686999999999998,62.65674,0.068
Hyades,13.017000000000001,49968306654050944,18.43215,22.844,58.98885,0.033
Hyades,15.075,3295377880503113216,12.2624,22.494,74.76338,0.035
Hyades,16.275,3295557581935254144,11.385639999999999,22.331,72.19202,0.054000000000000006
