TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
355703913,111.01,,4,5,5,5,5,5,4,,KP,KP,13.183,0.006,,1,spoc,00:03:05.88,-62:28:09.54,2.8939999999999997,0.024,4.9110000000000005,0.025,2458326.106323,0.001084,2.106098,6.9e-05,1.5747659999999999,0.083967,13.580831,0.57385,12430.50293,12430.50293,16.683676000000002,14.132685,,,30.581211,508.842,3.8960000000000004,5380.0,,4.4337,,0.98,,0.245387,0.0875268,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:31,2019-12-17 10:00:02,HATS-34
388104525,112.01,,5,5,5,5,5,5,5,5.0,KP,KP,11.6035,0.006,,1,spoc,03:43:44.07,-65:11:37.61,21.125999999999998,0.032,16.543,0.043,2458327.409424,0.00018899999999999999,2.4998139999999998,8e-06,2.878017,0.0169,16.458676,0.070009,15044.681641,15044.681641,14.839843,0.08296100000000001,996.863525,1433.107178,235.476913,302.448,2.004,5650.0,,4.28867,,1.2,,,,"1,2,3,4",2018-09-05 18:34:19,2019-12-17 15:43:39,2020-01-16 02:34:07,
97409519,113.01,,5,5,5,5,5,5,5,5.0,KP,KP,12.1893,0.006,,1,spoc,22:10:51.44,-30:44:58.99,-0.71,0.052000000000000005,-14.515999999999998,0.049,2458327.053101,0.0006230000000000001,3.3728769999999995,0.000147,2.63426,0.043644,18.796923,0.23064099999999998,17163.603516,17163.603516,14.201803,0.154789,615.1658940000001,1270.1875,0.8292139999999999,448.63699999999994,7.507999999999999,6050.0,,4.45061,,1.02,,,,1,2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,WASP-124
25155310,114.01,,5,5,5,5,5,5,5,5.0,KP,KP,10.6103,0.006,,1,spoc,04:13:29.93,-69:13:35.73,63.13399999999999,0.045,53.433,0.039,2458327.520874,0.00020299999999999997,3.2887760000000004,7.000000000000001e-06,3.410191,0.019658000000000002,7.7639059999999995,0.031383999999999995,7125.314941,7125.314941,10.835677,0.075686,808.154602,1359.857422,240.63534500000003,216.52599999999998,0.932,5800.0,,4.2800400000000005,,1.27,,0.20683,0.045809300000000004,"1,2,3,4,5,6",2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,
281541555,115.01,,4,5,5,5,5,5,4,5.0,KP,KP,13.0417,0.006,,1,spoc,00:26:48.63,-56:18:57.97,21.46,0.027000000000000003,7.316,0.024,2458329.900635,0.001812,4.742744999999999,0.000262,2.4087680000000002,0.13705599999999998,14.669267999999999,0.562533,13420.032227,13420.032227,11.517937,11.536549,246.93766800000003,1011.0358890000001,24.498663,453.80800000000005,3.8939999999999997,5377.0,185.0,4.42476,2.00401,0.980778,0.980778,,,"1,2",2018-09-05 18:34:19,2019-12-17 15:43:32,2020-01-16 02:34:07,HATS-46
238176110,116.01,,5,5,5,5,5,5,5,5.0,KP,KP,11.0443,0.006,,1,spoc,23:51:23.14,-70:09:10.3,96.185,0.040999999999999995,-1.7469999999999999,0.038,2458326.689331,0.00026000000000000003,2.798594,4.9e-05,2.366459,0.022664,18.483064000000002,0.10978800000000001,16879.449219,16879.449219,11.293845,0.10896700000000001,288.255493,1050.9067380000001,0.808503,149.942,0.5175,4920.0,,4.49371,,0.86,,0.32,0.08,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,WASP-91
322307342,117.01,,4,5,5,5,5,5,4,5.0,PC,KP,11.7806,0.006,,1,qlp,01:00:01.46,-58:54:17.01,22.522,0.049,7.593999999999999,0.040999999999999995,2458328.480957,0.00133,3.5855,0.00037999999999999997,3.173,0.12300000000000001,6.7987660000000005,0.004213000000000001,6242.330078,6242.330078,15.2606,0.655196,668.223022,1416.0,49.0,603.955,10.2025,6075.0,108.300003,3.71,0.08,1.76,0.06,-0.25,0.0707107,1,2018-09-05 18:34:59,2019-12-17 15:43:32,2020-01-16 02:34:07,HATS-68
266980320,118.01,,2,5,5,4,4,2,4,5.0,PC,CP,9.179,0.006,,1,spoc,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2458329.199585,0.001235,6.036061,0.000637,2.123832,0.09961,1.8517099999999997,0.061023,1704.034302,1704.034302,4.926376,0.6309060000000001,242.435043,1006.3952640000001,0.830483,94.1719,0.2512,5586.0,187.0,4.36763,0.27024699999999996,1.0776,0.12873199999999999,,,1,2018-09-05 18:34:19,2019-12-17 15:43:31,2020-01-16 02:34:07,
278683844,119.01,,1,5,5,5,2,1,4,,PC,,9.2789,0.006,,1,spoc,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2458327.615845,0.002023,5.541143,0.000132,3.03471,0.132389,0.6796989999999999,0.032175999999999996,625.829712,625.829712,2.468596,0.31411500000000003,,,20.643391,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.8297620000000001,0.10043200000000001,,,"1,2,3,4,5,6",2018-08-30 14:18:00,2019-12-17 15:43:41,2019-12-17 10:00:02,follow up in progress
278683844,119.02,,4,5,5,5,2,4,4,5.0,PC,,9.2789,0.006,,2,spoc,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2458328.046387,0.002725,10.691632,8.3e-05,3.177466,0.415448,0.563905,0.028667,519.241028,519.241028,1.891011,0.969714,58.334728000000005,704.857849,19.546083,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.8297620000000001,0.10043200000000001,,,"1,2,3,4,5,6,8,9,10,11,12,13",2018-10-19 23:49:46,2019-12-17 15:43:32,2020-01-16 02:34:07,follow up in progress
