time flux flux_err
1683.3681030273438 0.9977438012713639 7.05912290074753e-05
1683.3889770507812 0.9928625432658942 7.042126311060892e-05
1683.4097900390625 0.9919975490304788 7.040712491732665e-05
1683.4306030273438 0.9921573335459482 7.0405367921879e-05
1683.4514770507812 0.9924928751868151 7.04110496945999e-05
1683.4722900390625 0.992839371924811 7.043402204125665e-05
1683.4931030273438 0.9930350274456378 7.043292820314601e-05
1683.5139770507812 0.9953194430212434 7.050856694859293e-05
1683.5347900390625 0.9999037734755496 7.064628428626121e-05
1683.5556030273438 0.9996408912274056 7.065216461121451e-05
1683.5764770507812 1.0006179561739 7.063812569831468e-05
1683.5972900390625 0.9998566489738608 7.065721608017842e-05
1683.6181030273438 1.0002964055962678 7.065204705334184e-05
1683.6389770507812 0.9999665964400156 7.064666742057967e-05
1683.6597900390625 1.0000710683449296 7.065260009858298e-05
1683.6806030273438 0.9996616076064447 7.066820806473301e-05
1683.7014770507812 0.9999281677828354 7.068917622254334e-05
1683.7222900390625 1.0001260218279338 7.068985218541494e-05
1683.7431030273438 1.0003066928654396 7.069329422334563e-05
1683.7639770507812 0.999942757679105 7.068060254309206e-05
1683.7847900390625 0.9998778319994331 7.068720768578979e-05
1683.8056030273438 0.9998237863932408 7.067766135175122e-05
1683.8264770507812 0.9998273314892965 7.06901803325959e-05
1683.8472900390625 1.0003562967584811 7.066876682331804e-05
1683.8681030273438 0.9998650136159637 7.067158784820305e-05
1683.8889770507812 1.0002195838313162 7.06494067154406e-05
1683.9097900390625 1.0000556903305011 7.064287527414375e-05
1683.9306030273438 0.9998279261511785 7.067650023687757e-05
1683.9514770507812 0.9998803677015901 7.067675203022134e-05
1683.9722900390625 1.0001335431099425 7.068292232829932e-05
1683.9931030273438 1.0000938997826239 7.06906616434759e-05
1684.0139770507812 0.9997476334969031 7.068507245811146e-05
1684.0347900390625 0.9999688200052866 7.067268696580664e-05
1684.0556030273438 1.0001887414704924 7.067572834205676e-05
1684.0764770507812 0.9999849170297763 7.066682854328405e-05
1684.0972900390625 1.0002654760700351 7.066822349966297e-05
1684.1181030273438 0.999740153888282 7.064512636412401e-05
1684.1389770507812 0.9997948675450766 7.066157614720817e-05
1684.1597900390625 1.0000699405058275 7.064195736920358e-05
1684.1806030273438 1.000135941308055 7.06663810649105e-05
1684.2014770507812 1.0001303726386253 7.065390868142149e-05
1684.2222900390625 1.0001275632406033 7.068438922938332e-05
1684.2431030273438 0.9995151951637592 7.066684938900195e-05
1684.2639770507812 0.9997956960011548 7.069527216528532e-05
1684.2847900390625 1.0004441762993703 7.070785494192648e-05
1684.3056030273438 1.0001005509016974 7.06907499700112e-05
1684.3264770507812 1.0001990940545193 7.071518892246433e-05
1684.3472900390625 0.9997904767607134 7.071502418962631e-05
1684.3681030273438 0.9996326869510891 7.073138351121523e-05
1684.3889770507812 1.0001136936793826 7.073814824689475e-05
1684.4097900390625 1.0001845652943366 7.073575983526566e-05
1684.4306030273438 0.9999149749146037 7.071475152100279e-05
1684.4514770507812 1.0001191314398492 7.070716988820688e-05
1684.4722900390625 0.999627912746272 7.072784136974884e-05
1684.4931030273438 1.0002448082957642 7.074547618138759e-05
1684.5139770507812 1.000304219927834 7.074303171819218e-05
1684.5347900390625 0.9998429712844985 7.075295097545979e-05
1684.5556030273438 0.9999818370398038 7.077042625298118e-05
1684.5764770507812 0.9997193802658341 7.076265954582933e-05
1684.5972900390625 1.0000079996461964 7.077679514785118e-05
1684.6181030273438 1.00036318604402 7.079363953824408e-05
1684.6389770507812 0.999908927060593 7.08012886363205e-05
1684.6597900390625 1.0001890507559685 7.079838157602378e-05
1684.6806030273438 0.9994970888531832 7.08071730687751e-05
1684.7014770507812 1.0000185525127683 7.081208105584078e-05
1684.7222900390625 1.0002983892070212 7.080555242836093e-05
1684.7431030273438 0.9999458470186292 7.080434862169154e-05
1684.7639770507812 0.9999943097559628 7.080280658519827e-05
1684.7847900390625 1.000294592048726 7.079529014708521e-05
1684.8056030273438 1.0000198534353046 7.078945405414688e-05
1684.8264770507812 0.9997907997334176 7.077265953677186e-05
1684.8473510742188 0.9981787112165633 7.075208244912782e-05
1684.8681640625 0.9934635090757583 7.058083697928889e-05
1684.8889770507812 0.9934335840905819 7.055256194189628e-05
1684.9098510742188 0.9930697674473677 7.055430451382308e-05
1684.9306640625 0.9931666147524552 7.058269433586582e-05
1684.9514770507812 0.9934244031407868 7.059389875252953e-05
1684.9723510742188 0.9937274819797759 7.062224860945471e-05
1684.9931640625 0.9950993184433231 7.067464155385414e-05
1685.0139770507812 0.9998907090195452 7.08318936548403e-05
1685.0348510742188 1.0002121950821596 7.082731970394513e-05
1685.0556640625 0.99980520238476 7.082237298516426e-05
1685.0764770507812 1.000074727898348 7.082650109543665e-05
1685.0973510742188 1.0001115700170813 7.08222213258624e-05
1685.1181640625 1.0000808982581633 7.084145745635748e-05
1685.1389770507812 0.9999305683587077 7.083835525730676e-05
1685.1598510742188 0.9996880690351755 7.083632631331813e-05
1685.1806640625 1.0000748007605769 7.08337384892399e-05
1685.2014770507812 1.0001757183412077 7.084031399063081e-05
1685.2223510742188 1.0000176574722917 7.084189238337322e-05
1685.2431640625 1.000369031497622 7.08346313952736e-05
1685.2639770507812 0.9996082390453553 7.0837446426758e-05
1685.2848510742188 0.9997564398209317 7.083537468177108e-05
1685.3056640625 1.0002443950381845 7.084484724437389e-05
1685.3264770507812 0.9999122191761074 7.085355499838386e-05
1685.3473510742188 1.00027671453726 7.083856324838408e-05
1685.3681640625 0.999776168211334 7.082740321808989e-05
